benchmark,problem_id,config,seed,pass_all_tests,test_pass_rate,tokens_input,tokens_output,latency_seconds,revision_count,timestamp,model,error
HE,HumanEval/0,baseline,42,True,1.0,202,68,9.9956,0,2026-05-22T14:59:39.747356+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/0,baseline,123,True,1.0,202,68,4.028,0,2026-05-22T14:59:50.894484+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/0,baseline,456,True,1.0,202,66,3.7524,0,2026-05-22T14:59:55.025569+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/1,baseline,42,True,1.0,195,105,6.1179,0,2026-05-22T14:59:58.874680+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/1,baseline,123,True,1.0,195,105,5.4748,0,2026-05-22T15:00:05.078533+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/1,baseline,456,True,1.0,195,108,5.6426,0,2026-05-22T15:00:10.650543+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/2,baseline,42,True,1.0,162,22,1.8703,0,2026-05-22T15:00:16.388071+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/2,baseline,123,True,1.0,162,22,1.2262,0,2026-05-22T15:00:18.358215+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/2,baseline,456,True,1.0,162,22,1.2342,0,2026-05-22T15:00:19.682708+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/3,baseline,42,True,1.0,196,54,3.6736,0,2026-05-22T15:00:21.016914+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/3,baseline,123,True,1.0,196,54,2.8891,0,2026-05-22T15:00:24.805478+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/3,baseline,456,True,1.0,196,54,2.8939,0,2026-05-22T15:00:27.806684+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/4,baseline,42,True,1.0,196,50,3.3455,0,2026-05-22T15:00:30.813388+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/4,baseline,123,True,1.0,196,50,2.6985,0,2026-05-22T15:00:34.270486+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/4,baseline,456,True,1.0,196,50,2.7013,0,2026-05-22T15:00:37.078848+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/5,baseline,42,True,1.0,169,62,3.9489,0,2026-05-22T15:00:39.890700+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/5,baseline,123,True,1.0,169,66,3.5436,0,2026-05-22T15:00:43.938055+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/5,baseline,456,True,1.0,169,65,3.4733,0,2026-05-22T15:00:47.579734+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/6,baseline,42,True,1.0,192,99,5.9,0,2026-05-22T15:00:51.150836+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/6,baseline,123,True,1.0,192,99,5.2804,0,2026-05-22T15:00:57.146316+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/6,baseline,456,True,1.0,192,99,5.2768,0,2026-05-22T15:01:02.525467+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/7,baseline,42,True,1.0,172,41,2.9067,0,2026-05-22T15:01:07.898391+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/7,baseline,123,True,1.0,172,41,2.254,0,2026-05-22T15:01:10.905916+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/7,baseline,456,True,1.0,172,41,2.2547,0,2026-05-22T15:01:13.250217+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/8,baseline,42,True,1.0,189,74,4.6523,0,2026-05-22T15:01:15.603196+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/8,baseline,123,True,1.0,189,74,3.9751,0,2026-05-22T15:01:20.371204+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/8,baseline,456,False,0.0,189,46,2.4989,0,2026-05-22T15:01:24.462047+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/9,baseline,42,True,1.0,177,82,5.0248,0,2026-05-22T15:01:27.073809+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/9,baseline,123,True,1.0,177,64,3.4653,0,2026-05-22T15:01:32.225347+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/9,baseline,456,True,1.0,177,64,3.4871,0,2026-05-22T15:01:35.817243+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/10,baseline,42,False,0.0,220,193,11.6605,0,2026-05-22T15:01:39.430145+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/10,baseline,123,False,0.0,220,186,11.2659,0,2026-05-22T15:01:51.190812+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/10,baseline,456,False,0.0,220,186,11.0729,0,2026-05-22T15:02:02.556433+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/11,baseline,42,True,1.0,159,44,3.1511,0,2026-05-22T15:02:13.729320+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/11,baseline,123,True,1.0,159,44,2.6475,0,2026-05-22T15:02:16.979707+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/11,baseline,456,True,1.0,159,49,2.9504,0,2026-05-22T15:02:19.726680+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/12,baseline,42,True,1.0,179,40,3.1234,0,2026-05-22T15:02:22.773802+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/12,baseline,123,True,1.0,179,40,2.4383,0,2026-05-22T15:02:26.006770+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/12,baseline,456,True,1.0,179,40,2.4427,0,2026-05-22T15:02:28.552036+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/13,baseline,42,True,1.0,152,43,3.1848,0,2026-05-22T15:02:31.103925+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/13,baseline,123,True,1.0,152,43,2.6845,0,2026-05-22T15:02:34.380242+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/13,baseline,456,True,1.0,152,43,2.673,0,2026-05-22T15:02:37.168082+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/14,baseline,42,True,1.0,137,46,3.3753,0,2026-05-22T15:02:39.942232+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/14,baseline,123,True,1.0,137,46,2.8641,0,2026-05-22T15:02:43.425653+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/14,baseline,456,True,1.0,137,46,2.9189,0,2026-05-22T15:02:46.395675+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/15,baseline,42,True,1.0,145,32,2.6221,0,2026-05-22T15:02:49.418258+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/15,baseline,123,True,1.0,145,32,1.9625,0,2026-05-22T15:02:55.844237+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/15,baseline,456,True,1.0,145,32,1.948,0,2026-05-22T15:03:01.431111+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/16,baseline,42,True,1.0,149,24,1.9942,0,2026-05-22T15:03:07.087871+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/16,baseline,123,True,1.0,149,24,1.4794,0,2026-05-22T15:03:09.181924+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/16,baseline,456,True,1.0,149,24,1.4809,0,2026-05-22T15:03:10.764907+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/17,baseline,42,True,1.0,249,61,4.9984,0,2026-05-22T15:03:12.347064+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/17,baseline,123,True,1.0,249,61,4.2105,0,2026-05-22T15:03:17.449024+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/17,baseline,456,True,1.0,249,61,4.3716,0,2026-05-22T15:03:21.761835+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/18,baseline,42,True,1.0,166,72,6.166,0,2026-05-22T15:03:26.238243+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/18,baseline,123,True,1.0,166,72,6.0594,0,2026-05-22T15:03:32.505331+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/18,baseline,456,True,1.0,166,72,6.5211,0,2026-05-22T15:03:38.671657+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/19,baseline,42,True,1.0,182,113,10.3941,0,2026-05-22T15:03:45.295092+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
HE,HumanEval/19,baseline,123,True,1.0,182,108,9.2993,0,2026-05-22T15:03:55.787178+00:00,qwen2.5-coder:7b-instruct-q4_K_M,
